"Product Family","Status","Documents","Volume Pricing","Memory Type","Program Memory KBytes","Program Memory KWords","Self-write","EEPROM Data Memory","RAM","I/O Pins","Pin count","Max. CPU Speed MHz"," Internal Oscillator","# of A/D Ch.","Cap Touch Channels","Digital Communication","Timers","Temperature Range","Operation Voltage Range","Packages"
PIC16F73 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010218","$2.97","Flash","7","4","No","0","192","22","28","20",,"5",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -MSSP(SPI/I2C)  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit"," -40 to 125"," 2V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil"
PIC16F737 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010219","$3.13","Flash","7","4","No","0","368","25","28","20","8 MHz","11",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -MSSP(SPI/I2C)  , 0 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit"," -40 to 125"," 2V - 5.5V"," 28/PDIP 300mil,28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil"
PIC16F74 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010220","$3.61","Flash","7","4","No","0","192","33","40","20",,"8",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -MSSP(SPI/I2C)  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit"," -40 to 125"," 2V - 5.5V"," 40/PDIP,44/PLCC,44/QFN,44/TQFP"
PIC16F747 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010221","$3.61","Flash","7","4","No","0","368","36","40","20","8 MHz","14",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -MSSP(SPI/I2C)  , 0 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit"," -40 to 125"," 2V - 5.5V"," 40/PDIP,40/PDIP 600mil,44/QFN,44/TQFP"
PIC16F76 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010222","$3.73","Flash","14","8","No","0","368","22","28","20",,"5",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -MSSP(SPI/I2C)  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit"," -40 to 125"," 2V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil"
PIC16F767 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010223","$3.64","Flash","14","8","No","0","368","25","28","20","8 MHz","11",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -MSSP(SPI/I2C)  , 0 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit"," -40 to 125"," 2V - 5.5V"," 28/PDIP 300mil,28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil"
PIC16F77 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010224","$4.12","Flash","14","8","No","0","368","33","40","20",,"8",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -MSSP(SPI/I2C)  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit"," -40 to 125"," 2V - 5.5V"," 40/PDIP,44/PLCC,44/QFN,44/TQFP"
PIC16F777 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010225","$4.00","Flash","14","8","No","0","368","36","40","20","8MHz","14",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -MSSP(SPI/I2C)  , 0 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit"," -40 to 125"," 2V - 5.5V"," 40/PDIP,40/PDIP 600mil,44/QFN,44/TQFP"
PIC16F785 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en020257","$1.12","Flash","3.5","2","No","256","128","18","20","20","8 MHz, 32 kHz","12",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 15V"," 20/CSP,20/PDIP,20/QFN,20/SOIC 300mil,20/SSOP 208mil"
PIC16F818 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010226","$1.56","Flash","1.75","1","Yes","128","128","16","18","20",,"5",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil,28/QFN"
PIC16F819 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010227","$1.78","Flash","3.5","2","Yes","256","256","16","18","20",,"5",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil,28/QFN"
PIC16F84A ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010230","$3.11","Flash","1.75","1","No","64","68","13","18","20",,"0",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -MSSP(SPI/I2C)  , 0 -SSP(SPI/I2C)  "," 1 - 8-bit , 0 - 16-bit"," -40 to 85"," 2V - 6V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil"
PIC16F87 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010231","$2.06","Flash","7","4","Yes","256","368","16","18","20","8 MHz","0",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil,28/QFN"
PIC16F88 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010243","$2.20","Flash","7","4","Yes","256","368","16","18","20","8MHz","7",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -MSSP(SPI/I2C)  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit"," -40 to 125"," 2V - 5.5V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil,28/QFN"
PIC16F882 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en530146","$1.16","Flash","3.5","2","Yes","128","128","25","28","20","8 MHz, 32 kHz","11","11"," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -MSSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil"
PIC16F883 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en026563","$1.37","Flash","7","4","Yes","256","256","25","28","20","8 MHz, 32 kHz","11","11"," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -MSSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil"
PIC16F884 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en026564","$1.63","Flash","7","4","Yes","256","256","36","40","20","8 MHz, 32 kHz","14","11"," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -MSSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 40/PDIP,44/QFN,44/TQFP"
PIC16F886 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en026562","$1.49","Flash","14","8","Yes","256","368","25","28","20","8 MHz, 32 kHz","11","11"," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -MSSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil"
PIC16F887 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en026561","$1.78","Flash","14","8","Yes","256","368","36","40","20","8 MHz, 32 kHz","14","11"," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -MSSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 40/PDIP,44/QFN,44/TQFP"
PIC16F913 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en020199","$1.72","Flash","7","4","No","256","256","25","28","20","8 MHz, 32 kHz","5",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil"
PIC16F914 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en020200","$2.03","Flash","7","4","No","256","256","36","40","20","8 MHz, 32 kHz","8",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 40/PDIP,44/QFN,44/TQFP"
PIC16F916 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en020201","$1.93","Flash","14","8","No","256","352","25","28","20","8 MHz, 32 kHz","5",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil"
PIC16F917 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en020202","$2.17","Flash","14","8","No","256","352","36","40","20","8 MHz, 32 kHz","8",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 40/PDIP,44/QFN,44/TQFP"
PIC16F946 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en023674","$2.31","Flash","14","8","No","256","336","54","64","20","8 MHz, 32 kHz","8",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 64/TQFP"
PIC16HV540 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010244","$1.27","OTP","1.5","0.5","No","0","25","12","18","20",,"0",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -MSSP(SPI/I2C)  , 0 -SSP(SPI/I2C)  "," 1 - 8-bit , 0 - 16-bit"," -40 to 85"," 3.5V - 15V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil"
,"In Production","Call for pricing","Flash","1.75","1","No","0","64","12","14","20","4 MHz, 8 MHz","0",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -SSP(SPI/I2C)  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 15V","Please call for package information"
,"In Production","Call for pricing","Flash","3.5","2","No","0","128","12","14","20","4 MHz, 8 MHz","8",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 15V","Please call for package information"
,"In Production","Call for pricing","Flash","3.5","2","No","256","128","18","20","20","8 MHz, 32 kHz","12",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 15V"," 20/QFN"
PIC16LF1902 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en549753","$0.78","Flash","3.5","2","Yes","0","128","25","28","20","16 MHz, 32 kHz","11",,," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 3.6V"," 28/SOIC 300mil,28/SPDIP,28/SSOP 208mil,28/UQFN"
PIC16LF1903 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en549754","$0.85","Flash","7","4","Yes","0","256","25","28","20","16 MHz, 32 kHz","11",,," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 3.6V"," 28/SOIC 300mil,28/SPDIP,28/SSOP 208mil,28/UQFN"
PIC16LF1904 ,"Future Product","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en549755","Call for pricing","Flash","7","4","Yes","0","256","36","40","20","16 MHz, 32 kHz","14",," 1 -A/E/USART  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 3.6V","Please call for package information"
PIC16LF1906 ,"Future Product","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en549756","Call for pricing","Flash","14","8","Yes","0","512","25","28","20","16 MHz, 32 kHz","11",," 1 -A/E/USART  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 3.6V","Please call for package information"
PIC16LF1907 ,"Future Product","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en549757","Call for pricing","Flash","14","8","Yes","0","512","36","40","20","16 MHz, 32 kHz","14",," 1 -A/E/USART  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 3.6V","Please call for package information"
,"In Production","Call for pricing","Flash","3.5","2","No","0","128","25","28","20","16 MHz","11",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 3.6V","Please call for package information"
,"In Production","Call for pricing","Flash","7","4","No","0","192","25","28","20","16 MHz","11",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 3.6V","Please call for package information"
,"In Production","Call for pricing","Flash","7","4","No","0","192","36","40","20","16 MHz","14",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 3.6V","Please call for package information"
,"In Production","Call for pricing","Flash","14","8","No","0","368","25","28","20","16 MHz","11",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 3.6V"," 28/SSOP 208mil"
,"In Production","Call for pricing","Flash","14","8","No","0","368","36","40","20","16 MHz","14",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 3.6V"," 44/TQFP"
